subject,video,type,type_idx,startFrame,endFrame,frame_num,length
001,/home/yww/CAS^3/new_data_full_reduce/001/a,Macro,1,31,59,836,28
001,/home/yww/CAS^3/new_data_full_reduce/001/a,Macro,1,262,302,836,40
001,/home/yww/CAS^3/new_data_full_reduce/001/a,Macro,1,590,618,836,28
001,/home/yww/CAS^3/new_data_full_reduce/001/a,Micro,2,349,354,836,5
001,/home/yww/CAS^3/new_data_full_reduce/001/b,Micro,2,160,173,878,13
001,/home/yww/CAS^3/new_data_full_reduce/001/d,Macro,1,217,243,4070,26
001,/home/yww/CAS^3/new_data_full_reduce/001/d,Macro,1,244,266,4070,22
001,/home/yww/CAS^3/new_data_full_reduce/001/d,Macro,1,298,373,4070,75
001,/home/yww/CAS^3/new_data_full_reduce/001/e,Micro,2,92,102,2294,10
001,/home/yww/CAS^3/new_data_full_reduce/001/f,Micro,2,1564,1577,1853,13
001,/home/yww/CAS^3/new_data_full_reduce/001/h,Micro,2,177,190,2719,13
001,/home/yww/CAS^3/new_data_full_reduce/001/j,Macro,1,46,93,1999,47
001,/home/yww/CAS^3/new_data_full_reduce/001/j,Macro,1,349,398,1999,49
001,/home/yww/CAS^3/new_data_full_reduce/001/j,Micro,2,96,107,1999,11
001,/home/yww/CAS^3/new_data_full_reduce/001/k,Macro,1,58,79,1948,21
001,/home/yww/CAS^3/new_data_full_reduce/001/k,Macro,1,80,125,1948,45
001,/home/yww/CAS^3/new_data_full_reduce/001/k,Macro,1,1871,1887,1948,16
001,/home/yww/CAS^3/new_data_full_reduce/001/k,Micro,2,147,162,1948,15
001,/home/yww/CAS^3/new_data_full_reduce/001/m,Macro,1,164,219,2371,55
002,/home/yww/CAS^3/new_data_full_reduce/002/a,Macro,1,786,842,847,56
002,/home/yww/CAS^3/new_data_full_reduce/002/b,Macro,1,773,822,995,49
002,/home/yww/CAS^3/new_data_full_reduce/002/c,Macro,1,453,567,2806,114
002,/home/yww/CAS^3/new_data_full_reduce/002/c,Macro,1,784,888,2806,104
002,/home/yww/CAS^3/new_data_full_reduce/002/c,Macro,1,2542,2581,2806,39
002,/home/yww/CAS^3/new_data_full_reduce/002/d,Macro,1,616,669,3699,53
002,/home/yww/CAS^3/new_data_full_reduce/002/d,Macro,1,669,729,3699,60
002,/home/yww/CAS^3/new_data_full_reduce/002/d,Macro,1,729,762,3699,33
002,/home/yww/CAS^3/new_data_full_reduce/002/d,Macro,1,1190,1241,3699,51
002,/home/yww/CAS^3/new_data_full_reduce/002/d,Macro,1,1288,1398,3699,110
002,/home/yww/CAS^3/new_data_full_reduce/002/d,Macro,1,1398,1473,3699,75
002,/home/yww/CAS^3/new_data_full_reduce/002/d,Macro,1,1691,1751,3699,60
002,/home/yww/CAS^3/new_data_full_reduce/002/d,Macro,1,1800,1852,3699,52
002,/home/yww/CAS^3/new_data_full_reduce/002/d,Macro,1,1872,1946,3699,74
002,/home/yww/CAS^3/new_data_full_reduce/002/d,Macro,1,2154,2199,3699,45
002,/home/yww/CAS^3/new_data_full_reduce/002/d,Macro,1,2262,2349,3699,87
002,/home/yww/CAS^3/new_data_full_reduce/002/d,Macro,1,2370,2418,3699,48
002,/home/yww/CAS^3/new_data_full_reduce/002/d,Macro,1,2443,2511,3699,68
002,/home/yww/CAS^3/new_data_full_reduce/002/d,Macro,1,2547,2595,3699,48
002,/home/yww/CAS^3/new_data_full_reduce/002/d,Macro,1,2629,2688,3699,59
002,/home/yww/CAS^3/new_data_full_reduce/002/d,Macro,1,2721,2773,3699,52
002,/home/yww/CAS^3/new_data_full_reduce/002/d,Macro,1,2906,2979,3699,73
002,/home/yww/CAS^3/new_data_full_reduce/002/e,Macro,1,954,1027,2644,73
002,/home/yww/CAS^3/new_data_full_reduce/002/e,Micro,2,134,144,2644,10
002,/home/yww/CAS^3/new_data_full_reduce/002/f,Macro,1,617,649,1916,32
002,/home/yww/CAS^3/new_data_full_reduce/002/f,Macro,1,1044,1078,1916,34
002,/home/yww/CAS^3/new_data_full_reduce/002/f,Macro,1,1156,1210,1916,54
002,/home/yww/CAS^3/new_data_full_reduce/002/f,Macro,1,1392,1466,1916,74
002,/home/yww/CAS^3/new_data_full_reduce/002/g,Macro,1,1051,1124,2024,73
002,/home/yww/CAS^3/new_data_full_reduce/002/g,Macro,1,1438,1498,2024,60
002,/home/yww/CAS^3/new_data_full_reduce/002/h,Macro,1,1051,1121,2823,70
002,/home/yww/CAS^3/new_data_full_reduce/002/i,Macro,1,869,927,3103,58
002,/home/yww/CAS^3/new_data_full_reduce/002/i,Macro,1,1569,1620,3103,51
002,/home/yww/CAS^3/new_data_full_reduce/002/i,Macro,1,1904,1975,3103,71
002,/home/yww/CAS^3/new_data_full_reduce/002/i,Macro,1,2281,2354,3103,73
002,/home/yww/CAS^3/new_data_full_reduce/002/i,Macro,1,2550,2593,3103,43
002,/home/yww/CAS^3/new_data_full_reduce/002/j,Macro,1,643,744,1578,101
002,/home/yww/CAS^3/new_data_full_reduce/002/k,Macro,1,97,123,2213,26
002,/home/yww/CAS^3/new_data_full_reduce/002/k,Macro,1,2039,2067,2213,28
002,/home/yww/CAS^3/new_data_full_reduce/002/k,Micro,2,179,194,2213,15
002,/home/yww/CAS^3/new_data_full_reduce/002/l,Macro,1,460,518,3416,58
002,/home/yww/CAS^3/new_data_full_reduce/002/l,Macro,1,1200,1240,3416,40
002,/home/yww/CAS^3/new_data_full_reduce/002/l,Macro,1,1377,1463,3416,86
002,/home/yww/CAS^3/new_data_full_reduce/002/l,Macro,1,1944,1986,3416,42
002,/home/yww/CAS^3/new_data_full_reduce/002/l,Macro,1,2715,2800,3416,85
002,/home/yww/CAS^3/new_data_full_reduce/002/l,Macro,1,2805,2916,3416,111
002,/home/yww/CAS^3/new_data_full_reduce/002/m,Macro,1,45,64,2219,19
